n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
14.0,11.0,11.0,2198.0,495.0,0.20103506943235713,0.22520473157415832
14.0,1.0,1.0,13084.0,3412.0,0.2095683825795476,0.2607765209416081
14.0,7.0,7.0,1066.0,278.0,0.19957377992680508,0.2607879924953096
14.0,9.0,9.0,26531.0,7140.0,0.19946093732703715,0.2691191436432852
14.0,13.0,13.0,100014.0,25278.0,0.2027006109725483,0.2527446157537945
14.0,0.0,0.0,6891.0,1678.0,0.1959861948222709,0.24350602234799013
14.0,11.0,11.0,15703.0,3855.0,0.18469709078255225,0.2454944914984398
14.0,9.0,9.0,1374.0,301.0,0.17030979747276692,0.2190684133915575
14.0,7.0,7.0,2528.0,556.0,0.1864374499953703,0.2199367088607595
14.0,9.0,9.0,55881.0,13034.0,0.1847779318907765,0.23324564699987474
16.0,4.0,4.0,100016.0,26867.0,0.20575712534923724,0.2686270196768517
16.0,8.0,8.0,100016.0,27357.0,0.20619383123303697,0.27352623580227164
16.0,0.0,0.0,100016.0,25249.0,0.20664081338136883,0.25244960806270994
16.0,2.0,1.0,1070.0,216.0,0.17843477909872557,0.20186915887850468
16.0,11.0,11.0,6982.0,2105.0,0.20144349228195563,0.30148954454311083
16.0,8.0,8.0,73476.0,20915.0,0.2050720841231855,0.28465077031956015
16.0,13.0,13.0,6013.0,1616.0,0.20767608718409375,0.2687510394146017
16.0,12.0,12.0,16523.0,5128.0,0.21909892849940532,0.31035526236155664
16.0,6.0,6.0,41552.0,10723.0,0.1916013001031697,0.2580621871390065
16.0,6.0,9.0,2055.0,435.0,0.17712140255344394,0.2116788321167883
16.0,13.0,2.0,100016.0,23447.0,0.18013505905004346,0.23443249080147177
16.0,0.0,0.0,26257.0,6292.0,0.21253480033408434,0.23963133640552994
16.0,8.0,8.0,100016.0,27729.0,0.1953238099255359,0.2772456406974884
16.0,6.0,6.0,100016.0,26573.0,0.20229160825111167,0.26568749000159975
16.0,9.0,9.0,100016.0,25604.0,0.18495005770155815,0.25599904015357544
16.0,8.0,8.0,26520.0,6541.0,0.19125859644815163,0.24664404223227754
16.0,8.0,12.0,100016.0,23614.0,0.19800307828830674,0.23610222364421693
16.0,1.0,1.0,100016.0,25301.0,0.18415055831298688,0.2529695248760198
16.0,7.0,7.0,10444.0,2923.0,0.1873966257417392,0.27987361164304864
16.0,12.0,15.0,2761.0,697.0,0.20440602037072025,0.2524447663889895
16.0,1.0,1.0,100016.0,24616.0,0.1903561976742208,0.24612062070068788
16.0,0.0,0.0,21587.0,5207.0,0.20393230201023038,0.24120998749247233
16.0,5.0,5.0,100016.0,25917.0,0.19611519379192285,0.25912853943369063
16.0,14.0,0.0,1120.0,272.0,0.2299223427745395,0.24285714285714285
16.0,9.0,9.0,47745.0,9538.0,0.1783428098714366,0.19976960938318147
16.0,10.0,10.0,3088.0,826.0,0.19445149272002654,0.26748704663212436
16.0,9.0,9.0,4893.0,1342.0,0.19840155537658705,0.2742693643981198
16.0,6.0,6.0,1404.0,380.0,0.2035853162971757,0.2706552706552707
16.0,2.0,2.0,100016.0,22006.0,0.19061042444454257,0.22002479603263478
16.0,8.0,13.0,3577.0,827.0,0.19894875823231978,0.23119932904668716
16.0,6.0,6.0,9364.0,2127.0,0.19159084135856097,0.22714651858180265
16.0,5.0,5.0,49653.0,13833.0,0.2167621582951028,0.2785934384629328
18.0,9.0,9.0,100018.0,25971.0,0.2056609040475858,0.25966326061308964
18.0,7.0,12.0,3038.0,644.0,0.19721951697403986,0.2119815668202765
18.0,14.0,14.0,19057.0,5631.0,0.1824761074687454,0.29548197512724983
18.0,15.0,16.0,2251.0,485.0,0.17467503492145325,0.21545979564637938
18.0,16.0,16.0,37534.0,9084.0,0.19707854914312162,0.24202056801833005
18.0,1.0,1.0,100018.0,22863.0,0.1888209039389238,0.22858885400627887
18.0,15.0,15.0,100018.0,28795.0,0.1836527467826208,0.287898178327901
18.0,2.0,2.0,1436.0,369.0,0.22015194407095362,0.25696378830083566
18.0,4.0,4.0,82616.0,22189.0,0.20912506124736738,0.2685799360898615
18.0,15.0,15.0,100018.0,24529.0,0.19192585649422045,0.24524585574596572
18.0,15.0,15.0,100018.0,25771.0,0.21058628406375302,0.25766362054830133
18.0,11.0,11.0,1228.0,319.0,0.18987946485974766,0.25977198697068404
18.0,13.0,13.0,3366.0,727.0,0.18878174907438094,0.21598336304218657
18.0,13.0,13.0,7440.0,1913.0,0.21994027303937685,0.2571236559139785
18.0,12.0,12.0,1119.0,310.0,0.20698505648209414,0.2770330652368186
18.0,12.0,2.0,1899.0,484.0,0.19286605644910332,0.25487098472880465
18.0,4.0,12.0,100018.0,23498.0,0.1910806896611551,0.23493771121198184
18.0,10.0,10.0,32580.0,8267.0,0.20753521546255704,0.25374462860650704
